timestamp,datetime,open,high,low,close,volume
1741651200,2025-03-11 00:00:00,1864.52,1879.92,1863.47,1879.29,2051.35264008
1741651500,2025-03-11 00:05:00,1879.52,1889.93,1876.52,1883.31,1988.27480088
1741651800,2025-03-11 00:10:00,1883.45,1885.12,1873.48,1875.24,1347.23078755
1741652100,2025-03-11 00:15:00,1874.97,1875.31,1862.97,1869.85,1892.09029316
1741652400,2025-03-11 00:20:00,1869.48,1871.53,1845.23,1848.41,2897.01620815
1741652700,2025-03-11 00:25:00,1848.69,1862.02,1829.94,1831.36,2940.73810976
1741653000,2025-03-11 00:30:00,1831.44,1845.43,1811.0,1818.06,3562.15631184
1741653300,2025-03-11 00:35:00,1818.3,1827.91,1801.64,1818.82,2933.64305435
1741653600,2025-03-11 00:40:00,1819.14,1829.31,1812.93,1813.84,2736.93535844
1741653900,2025-03-11 00:45:00,1813.99,1822.1,1807.16,1807.93,1993.04950358
1741654200,2025-03-11 00:50:00,1807.58,1808.78,1754.13,1794.23,10754.72149148
1741654500,2025-03-11 00:55:00,1794.09,1815.76,1782.46,1813.34,3637.18156802
1741654800,2025-03-11 01:00:00,1813.22,1815.81,1797.03,1797.03,2543.15155241
1741655100,2025-03-11 01:05:00,1796.9,1802.23,1773.72,1787.72,3198.36740767
1741655400,2025-03-11 01:10:00,1787.31,1811.48,1783.16,1792.47,2676.68786951
1741655700,2025-03-11 01:15:00,1793.28,1813.4,1786.41,1806.39,2586.50284428
1741656000,2025-03-11 01:20:00,1805.79,1811.77,1799.88,1809.35,3170.03441256
1741656300,2025-03-11 01:25:00,1809.26,1817.23,1803.74,1808.92,1276.50151258
1741656600,2025-03-11 01:30:00,1808.92,1831.91,1808.09,1820.38,2476.7970133
1741656900,2025-03-11 01:35:00,1820.05,1835.32,1815.5,1828.4,1618.29486581
1741657200,2025-03-11 01:40:00,1828.1,1842.25,1827.26,1842.02,2849.69354153
1741657500,2025-03-11 01:45:00,1842.36,1842.49,1832.42,1839.39,2137.53716951
1741657800,2025-03-11 01:50:00,1839.65,1849.62,1837.64,1845.48,750.89396356
1741658100,2025-03-11 01:55:00,1845.48,1857.6,1843.36,1857.15,1526.07022683
1741658400,2025-03-11 02:00:00,1857.05,1867.65,1850.53,1854.13,3645.43084616
1741658700,2025-03-11 02:05:00,1854.12,1865.26,1850.1,1865.12,2037.67758446
1741659000,2025-03-11 02:10:00,1865.11,1868.67,1860.0,1865.39,1477.50929568
1741659300,2025-03-11 02:15:00,1865.47,1874.6,1860.78,1873.83,2619.46382182
1741659600,2025-03-11 02:20:00,1873.82,1876.62,1867.16,1867.6,1404.57904904
1741659900,2025-03-11 02:25:00,1867.88,1871.91,1864.89,1866.26,695.75112823
1741660200,2025-03-11 02:30:00,1865.87,1867.25,1857.51,1859.35,1463.09280489
1741660500,2025-03-11 02:35:00,1859.18,1862.38,1854.19,1857.91,790.92216127
1741660800,2025-03-11 02:40:00,1858.13,1860.43,1855.33,1857.37,589.77180089
1741661100,2025-03-11 02:45:00,1857.26,1859.36,1853.92,1856.37,376.35793208
1741661400,2025-03-11 02:50:00,1855.95,1865.68,1852.95,1862.38,753.60984764
1741661700,2025-03-11 02:55:00,1862.38,1864.03,1858.25,1859.12,623.7212805
1741662000,2025-03-11 03:00:00,1858.82,1866.94,1857.96,1861.81,915.30871969
1741662300,2025-03-11 03:05:00,1861.89,1866.92,1859.1,1864.71,783.53281563
1741662600,2025-03-11 03:10:00,1864.65,1880.62,1864.07,1868.2,1869.82501638
1741662900,2025-03-11 03:15:00,1868.09,1869.34,1861.95,1863.91,622.4348557
1741663200,2025-03-11 03:20:00,1863.83,1864.62,1860.19,1861.68,338.63073516
1741663500,2025-03-11 03:25:00,1861.6,1861.75,1858.12,1860.13,355.25777771
1741663800,2025-03-11 03:30:00,1859.9,1865.9,1859.14,1862.56,242.18720402
1741664100,2025-03-11 03:35:00,1862.57,1865.07,1861.03,1862.32,249.30497873
1741664400,2025-03-11 03:40:00,1862.42,1863.13,1855.19,1855.48,491.44372068
1741664700,2025-03-11 03:45:00,1855.35,1859.29,1853.51,1856.68,330.35346673
1741665000,2025-03-11 03:50:00,1856.67,1859.34,1854.98,1856.3,510.36052863
1741665300,2025-03-11 03:55:00,1856.18,1856.56,1846.62,1849.2,556.57942204
1741665600,2025-03-11 04:00:00,1849.23,1855.08,1844.89,1854.91,618.03843395
1741665900,2025-03-11 04:05:00,1854.9,1861.94,1849.84,1857.65,470.74131304
1741666200,2025-03-11 04:10:00,1857.46,1862.55,1856.06,1858.98,789.70684446
1741666500,2025-03-11 04:15:00,1858.9,1869.85,1858.18,1869.1,904.34117872
1741666800,2025-03-11 04:20:00,1869.28,1875.48,1864.27,1864.81,645.14645319
1741667100,2025-03-11 04:25:00,1865.04,1876.21,1864.27,1874.35,224.71440324
1741667400,2025-03-11 04:30:00,1874.17,1878.78,1870.79,1872.17,577.17669354
1741667700,2025-03-11 04:35:00,1872.15,1873.24,1869.24,1869.83,393.81960468
1741668000,2025-03-11 04:40:00,1869.81,1871.38,1865.69,1868.99,281.64845964
1741668300,2025-03-11 04:45:00,1868.97,1868.98,1863.96,1868.36,422.19340194
1741668600,2025-03-11 04:50:00,1868.59,1874.53,1865.92,1873.51,384.55909096
1741668900,2025-03-11 04:55:00,1873.35,1873.35,1867.7,1868.35,142.38601945
1741669200,2025-03-11 05:00:00,1868.33,1872.49,1865.68,1872.49,237.84067109
1741669500,2025-03-11 05:05:00,1872.52,1878.93,1870.12,1878.49,370.04435532
